ámbitoterritorial,sexo,relaciónconlaactividadeconómic,total
Municipios de 50.001 a 100.000 hab.,Mujeres,Económicamente inactiva,989389
Municipios de 50.001 a 100.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 30.001 a 50.000 hab.,Ambos sexos,Total,1287064
Municipios de 30.001 a 50.000 hab.,Ambos sexos,Económicamente activa (Total),626049
Municipios de 30.001 a 50.000 hab.,Ambos sexos,Económicamente activa (Ocupados),510073
Municipios de 30.001 a 50.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),42508
Municipios de 30.001 a 50.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),73469
Municipios de 30.001 a 50.000 hab.,Ambos sexos,Económicamente inactiva,648062
Municipios de 30.001 a 50.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),12953
Municipios de 30.001 a 50.000 hab.,Varones,Total,626144
Municipios de 30.001 a 50.000 hab.,Varones,Económicamente activa (Total),475268
Municipios de 30.001 a 50.000 hab.,Varones,Económicamente activa (Ocupados),394095
Municipios de 30.001 a 50.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),21924
Municipios de 30.001 a 50.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),59248
Municipios de 30.001 a 50.000 hab.,Varones,Económicamente inactiva,137924
Municipios de 30.001 a 50.000 hab.,Varones,Contada aparte (Cumple el servicio militar),12953
Municipios de 30.001 a 50.000 hab.,Mujeres,Total,660920
Municipios de 30.001 a 50.000 hab.,Mujeres,Económicamente activa (Total),150781
Municipios de 30.001 a 50.000 hab.,Mujeres,Económicamente activa (Ocupados),115978
Municipios de 30.001 a 50.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),20583
Municipios de 30.001 a 50.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),14220
Municipios de 30.001 a 50.000 hab.,Mujeres,Económicamente inactiva,510139
Municipios de 30.001 a 50.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 20.001 a 30.000 hab.,Ambos sexos,Total,1794174
Municipios de 20.001 a 30.000 hab.,Ambos sexos,Económicamente activa (Total),848080
Municipios de 20.001 a 30.000 hab.,Ambos sexos,Económicamente activa (Ocupados),705434
Municipios de 20.001 a 30.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),51957
Municipios de 20.001 a 30.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),90688
Municipios de 20.001 a 30.000 hab.,Ambos sexos,Económicamente inactiva,926828
Municipios de 20.001 a 30.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),19267
Municipios de 20.001 a 30.000 hab.,Varones,Total,874783
Municipios de 20.001 a 30.000 hab.,Varones,Económicamente activa (Total),653870
Municipios de 20.001 a 30.000 hab.,Varones,Económicamente activa (Ocupados),552757
Municipios de 20.001 a 30.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),26846
Municipios de 20.001 a 30.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),74267
Municipios de 20.001 a 30.000 hab.,Varones,Económicamente inactiva,201646
