sexo,relaciónmunicipio1970y1981,gruposdeedad,ocupadosparados,total
MUJERES,"De Ceuta, Melilla y otros territorios",de 55 a 64,Ocupados,75
MUJERES,"De Ceuta, Melilla y otros territorios",de 55 a 64,Parados,14
MUJERES,"De Ceuta, Melilla y otros territorios",de 65 y más,Ocupados,26
MUJERES,"De Ceuta, Melilla y otros territorios",de 65 y más,Parados,4
MUJERES,Del extranjero,TOTAL,Ocupados,36384
MUJERES,Del extranjero,TOTAL,Parados,11088
MUJERES,Del extranjero,de 16 a 24 años,Ocupados,7911
MUJERES,Del extranjero,de 16 a 24 años,Parados,5680
MUJERES,Del extranjero,de 25 a 34,Ocupados,11095
MUJERES,Del extranjero,de 25 a 34,Parados,2632
MUJERES,Del extranjero,de 35 a 44,Ocupados,8753
MUJERES,Del extranjero,de 35 a 44,Parados,1508
MUJERES,Del extranjero,de 45 a 54,Ocupados,5862
MUJERES,Del extranjero,de 45 a 54,Parados,956
MUJERES,Del extranjero,de 55 a 64,Ocupados,2226
MUJERES,Del extranjero,de 55 a 64,Parados,307
MUJERES,Del extranjero,de 65 y más,Ocupados,536
MUJERES,Del extranjero,de 65 y más,Parados,4
