tipodezona,actividad,añodelaboda,edaddelamujer,total
Zona urbana,ECON. INACTIVAS,En 1951 a 1955,De 35 a 39 años,5.5
Zona urbana,ECON. INACTIVAS,En 1951 a 1955,De 40 a 44 años,4.1
Zona urbana,ECON. INACTIVAS,En 1951 a 1955,De 45 a 49 años,3.5
Zona urbana,ECON. INACTIVAS,En 1951 a 1955,de 50 y más años,2.8
Zona urbana,ECON. INACTIVAS,Anterior a 1951,Total,3.2
Zona urbana,ECON. INACTIVAS,Anterior a 1951,De 15 a 19 años,
Zona urbana,ECON. INACTIVAS,Anterior a 1951,De 20 a 24 años,
Zona urbana,ECON. INACTIVAS,Anterior a 1951,De 25 a 29 años,
Zona urbana,ECON. INACTIVAS,Anterior a 1951,De 30 a 34 años,
Zona urbana,ECON. INACTIVAS,Anterior a 1951,De 35 a 39 años,
Zona urbana,ECON. INACTIVAS,Anterior a 1951,De 40 a 44 años,4.3
Zona urbana,ECON. INACTIVAS,Anterior a 1951,De 45 a 49 años,3.9
Zona urbana,ECON. INACTIVAS,Anterior a 1951,de 50 y más años,3.2
