sexo,relaciónmunicipio1970y1981,gruposdeedad,activos,total
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Total,2044690
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Activos,1867403
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Total,1582581
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Activos,1138505
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Total,1611480
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Activos,106095
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Total,1820815
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Activos,1502376
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 16 a 24 años,Total,347939
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 16 a 24 años,Activos,224056
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 25 a 34,Total,625572
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 25 a 34,Activos,610254
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 35 a 44,Total,377890
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 35 a 44,Activos,367269
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 45 a 54,Total,231839
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 45 a 54,Activos,210788
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 55 a 64,Total,125127
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 55 a 64,Activos,84012
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 65 y más,Total,112448
VARONES,EN DISTINTO MUNICIPIO QUE EN 1981,de 65 y más,Activos,5997
VARONES,Misma CCAA,TOTAL,Total,977529
VARONES,Misma CCAA,TOTAL,Activos,820265
VARONES,Misma CCAA,de 16 a 24 años,Total,174288
VARONES,Misma CCAA,de 16 a 24 años,Activos,115429
VARONES,Misma CCAA,de 25 a 34,Total,363106
VARONES,Misma CCAA,de 25 a 34,Activos,356387
VARONES,Misma CCAA,de 35 a 44,Total,200725
VARONES,Misma CCAA,de 35 a 44,Activos,195959
VARONES,Misma CCAA,de 45 a 54,Total,115991
VARONES,Misma CCAA,de 45 a 54,Activos,106465
VARONES,Misma CCAA,de 55 a 64,Total,62884
VARONES,Misma CCAA,de 55 a 64,Activos,42938
VARONES,Misma CCAA,de 65 y más,Total,60535
VARONES,Misma CCAA,de 65 y más,Activos,3087
VARONES,"Misma Provincia, Total",TOTAL,Total,839556
VARONES,"Misma Provincia, Total",TOTAL,Activos,709423
VARONES,"Misma Provincia, Total",de 16 a 24 años,Total,147880
VARONES,"Misma Provincia, Total",de 16 a 24 años,Activos,101071
VARONES,"Misma Provincia, Total",de 25 a 34,Total,315644
VARONES,"Misma Provincia, Total",de 25 a 34,Activos,310424
VARONES,"Misma Provincia, Total",de 35 a 44,Total,172800
VARONES,"Misma Provincia, Total",de 35 a 44,Activos,168703
VARONES,"Misma Provincia, Total",de 45 a 54,Total,98694
VARONES,"Misma Provincia, Total",de 45 a 54,Activos,90460
VARONES,"Misma Provincia, Total",de 55 a 64,Total,53377
VARONES,"Misma Provincia, Total",de 55 a 64,Activos,36292
VARONES,"Misma Provincia, Total",de 65 y más,Total,51160
VARONES,"Misma Provincia, Total",de 65 y más,Activos,2473
VARONES,Capital,TOTAL,Total,266609
VARONES,Capital,TOTAL,Activos,251434
VARONES,Capital,de 16 a 24 años,Total,43119
VARONES,Capital,de 16 a 24 años,Activos,30298
VARONES,Capital,de 25 a 34,Total,121622
VARONES,Capital,de 25 a 34,Activos,119856
VARONES,Capital,de 35 a 44,Total,64809
VARONES,Capital,de 35 a 44,Activos,63584
VARONES,Capital,de 45 a 54,Total,28876
VARONES,Capital,de 45 a 54,Activos,26915
VARONES,Capital,de 55 a 64,Total,14442
VARONES,Capital,de 55 a 64,Activos,10066
VARONES,Capital,de 65 y más,Total,13741
VARONES,Capital,de 65 y más,Activos,715
VARONES,Municipios no capital mayores de 50.000 hab.,TOTAL,Total,65104
VARONES,Municipios no capital mayores de 50.000 hab.,TOTAL,Activos,55771
VARONES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Total,11767
VARONES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Activos,8151
VARONES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Total,23852
VARONES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Activos,23333
VARONES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Total,14420
VARONES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Activos,14017
VARONES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Total,8095
VARONES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Activos,7379
VARONES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Total,4135
