sexo,relaciónmunicipio1970y1981,gruposdeedad,activos,total
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Total,27119
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Activos,7998
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Total,12225
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Activos,2601
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Total,9331
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Activos,1725
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Total,5659
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Activos,798
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Total,7478
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Activos,186
MUJERES,"Distinta CCAA, Total",TOTAL,Total,732294
MUJERES,"Distinta CCAA, Total",TOTAL,Activos,212965
MUJERES,"Distinta CCAA, Total",de 16 a 24 años,Total,170877
MUJERES,"Distinta CCAA, Total",de 16 a 24 años,Activos,81339
MUJERES,"Distinta CCAA, Total",de 25 a 34,Total,247939
MUJERES,"Distinta CCAA, Total",de 25 a 34,Activos,79059
MUJERES,"Distinta CCAA, Total",de 35 a 44,Total,118096
MUJERES,"Distinta CCAA, Total",de 35 a 44,Activos,26806
MUJERES,"Distinta CCAA, Total",de 45 a 54,Total,82863
MUJERES,"Distinta CCAA, Total",de 45 a 54,Activos,16604
MUJERES,"Distinta CCAA, Total",de 55 a 64,Total,51432
MUJERES,"Distinta CCAA, Total",de 55 a 64,Activos,7468
MUJERES,"Distinta CCAA, Total",de 65 y más,Total,61086
MUJERES,"Distinta CCAA, Total",de 65 y más,Activos,1689
MUJERES,Capital,TOTAL,Total,265739
MUJERES,Capital,TOTAL,Activos,77768
MUJERES,Capital,de 16 a 24 años,Total,49069
MUJERES,Capital,de 16 a 24 años,Activos,18123
MUJERES,Capital,de 25 a 34,Total,94378
MUJERES,Capital,de 25 a 34,Activos,34921
MUJERES,Capital,de 35 a 44,Total,52614
MUJERES,Capital,de 35 a 44,Activos,13544
MUJERES,Capital,de 45 a 54,Total,28483
MUJERES,Capital,de 45 a 54,Activos,6999
MUJERES,Capital,de 55 a 64,Total,17835
MUJERES,Capital,de 55 a 64,Activos,3238
MUJERES,Capital,de 65 y más,Total,23359
MUJERES,Capital,de 65 y más,Activos,933
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Total,40588
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Activos,10123
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Total,9348
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Activos,3663
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Total,13213
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Activos,3605
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Total,7758
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Activos,1485
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Total,4816
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Activos,873
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Total,2776
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Activos,392
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Total,2678
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Activos,104
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Total,62360
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Activos,16656
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Total,15590
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Activos,7283
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Total,20010
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Activos,5326
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Total,10662
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Activos,2018
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Total,7677
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Activos,1312
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Total,4160
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Activos,600
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Total,4261
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Activos,117
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Total,363606
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Activos,108429
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Total,96871
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Activos,52270
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Total,120339
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Activos,36207
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Total,47062
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Activos,9759
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Total,41887
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Activos,71420
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Total,26660
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Activos,3237
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Total,30788
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Activos,536
MUJERES,"De Ceuta, Melilla y otros territorios",TOTAL,Total,12782
MUJERES,"De Ceuta, Melilla y otros territorios",TOTAL,Activos,2612
MUJERES,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Total,3108
MUJERES,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Activos,996
MUJERES,"De Ceuta, Melilla y otros territorios",de 25 a 34,Total,3049
MUJERES,"De Ceuta, Melilla y otros territorios",de 25 a 34,Activos,845
MUJERES,"De Ceuta, Melilla y otros territorios",de 35 a 44,Total,2417
MUJERES,"De Ceuta, Melilla y otros territorios",de 35 a 44,Activos,400
MUJERES,"De Ceuta, Melilla y otros territorios",de 45 a 54,Total,1917
MUJERES,"De Ceuta, Melilla y otros territorios",de 45 a 54,Activos,252
MUJERES,"De Ceuta, Melilla y otros territorios",de 55 a 64,Total,1158
MUJERES,"De Ceuta, Melilla y otros territorios",de 55 a 64,Activos,89
MUJERES,"De Ceuta, Melilla y otros territorios",de 65 y más,Total,1134
MUJERES,"De Ceuta, Melilla y otros territorios",de 65 y más,Activos,30
MUJERES,Del extranjero,TOTAL,Total,179002
MUJERES,Del extranjero,TOTAL,Activos,47471
MUJERES,Del extranjero,de 16 a 24 años,Total,31905
MUJERES,Del extranjero,de 16 a 24 años,Activos,13592
MUJERES,Del extranjero,de 25 a 34,Total,43643
MUJERES,Del extranjero,de 25 a 34,Activos,13727
MUJERES,Del extranjero,de 35 a 44,Total,46306
MUJERES,Del extranjero,de 35 a 44,Activos,10261
MUJERES,Del extranjero,de 45 a 54,Total,29108
MUJERES,Del extranjero,de 45 a 54,Activos,6818
MUJERES,Del extranjero,de 55 a 64,Total,15874
MUJERES,Del extranjero,de 55 a 64,Activos,2534
MUJERES,Del extranjero,de 65 y más,Total,12166
MUJERES,Del extranjero,de 65 y más,Activos,539
