sexo,sectoreseconómicos,ámbitopoblacional,gruposdeedad,total
Ambos sexos,Construcción,Zona Intermedia,Total,200683
Ambos sexos,Construcción,Zona Intermedia,De 16 a 19 años,16063
Ambos sexos,Construcción,Zona Intermedia,De 20 a 24 años,26155
Ambos sexos,Construcción,Zona Intermedia,De 25 a 29 años,31612
Ambos sexos,Construcción,Zona Intermedia,De 30 a 34 años,30149
Ambos sexos,Construcción,Zona Intermedia,De 35 a 39 años,25376
Ambos sexos,Construcción,Zona Intermedia,De 40 a 44 años,20652
Ambos sexos,Construcción,Zona Intermedia,De 45 a 49 años,19814
Ambos sexos,Construcción,Zona Intermedia,De 50 a 54 años,15491
Ambos sexos,Construcción,Zona Intermedia,De 55 a 59 años,10704
Ambos sexos,Construcción,Zona Intermedia,De 60 a 64 años,3951
Ambos sexos,Construcción,Zona Intermedia,De 65 a 69 años,389
Ambos sexos,Construcción,Zona Intermedia,De 70 a 74 años,108
Ambos sexos,Construcción,Zona Intermedia,De 75 y más años,210
Ambos sexos,Construcción,Zona Urbana,Total,502733
Ambos sexos,Construcción,Zona Urbana,De 16 a 19 años,20844
Ambos sexos,Construcción,Zona Urbana,De 20 a 24 años,45941
Ambos sexos,Construcción,Zona Urbana,De 25 a 29 años,67533
Ambos sexos,Construcción,Zona Urbana,De 30 a 34 años,75873
Ambos sexos,Construcción,Zona Urbana,De 35 a 39 años,69329
Ambos sexos,Construcción,Zona Urbana,De 40 a 44 años,59580
Ambos sexos,Construcción,Zona Urbana,De 45 a 49 años,59800
Ambos sexos,Construcción,Zona Urbana,De 50 a 54 años,49747
Ambos sexos,Construcción,Zona Urbana,De 55 a 59 años,36836
Ambos sexos,Construcción,Zona Urbana,De 60 a 64 años,15124
Ambos sexos,Construcción,Zona Urbana,De 65 a 69 años,1347
Ambos sexos,Construcción,Zona Urbana,De 70 a 74 años,406
Ambos sexos,Construcción,Zona Urbana,De 75 y más años,374
Ambos sexos,Industria,Total nacional,Total,2799314
Ambos sexos,Industria,Total nacional,De 16 a 19 años,174564
Ambos sexos,Industria,Total nacional,De 20 a 24 años,373062
Ambos sexos,Industria,Total nacional,De 25 a 29 años,384212
Ambos sexos,Industria,Total nacional,De 30 a 34 años,375646
Ambos sexos,Industria,Total nacional,De 35 a 39 años,340309
Ambos sexos,Industria,Total nacional,De 40 a 44 años,292372
Ambos sexos,Industria,Total nacional,De 45 a 49 años,309425
Ambos sexos,Industria,Total nacional,De 50 a 54 años,264805
Ambos sexos,Industria,Total nacional,De 55 a 59 años,192072
Ambos sexos,Industria,Total nacional,De 60 a 64 años,77503
Ambos sexos,Industria,Total nacional,De 65 a 69 años,9273
Ambos sexos,Industria,Total nacional,De 70 a 74 años,3252
Ambos sexos,Industria,Total nacional,De 75 y más años,2820
Ambos sexos,Industria,Zona Rural,Total,359214
Ambos sexos,Industria,Zona Rural,De 16 a 19 años,32399
Ambos sexos,Industria,Zona Rural,De 20 a 24 años,55649
Ambos sexos,Industria,Zona Rural,De 25 a 29 años,50392
Ambos sexos,Industria,Zona Rural,De 30 a 34 años,43358
Ambos sexos,Industria,Zona Rural,De 35 a 39 años,38204
Ambos sexos,Industria,Zona Rural,De 40 a 44 años,32465
Ambos sexos,Industria,Zona Rural,De 45 a 49 años,36965
Ambos sexos,Industria,Zona Rural,De 50 a 54 años,33001
Ambos sexos,Industria,Zona Rural,De 55 a 59 años,24049
Ambos sexos,Industria,Zona Rural,De 60 a 64 años,10296
Ambos sexos,Industria,Zona Rural,De 65 a 69 años,1312
Ambos sexos,Industria,Zona Rural,De 70 a 74 años,554
Ambos sexos,Industria,Zona Rural,De 75 y más años,569
Ambos sexos,Industria,Zona Intermedia,Total,448516
Ambos sexos,Industria,Zona Intermedia,De 16 a 19 años,40585
Ambos sexos,Industria,Zona Intermedia,De 20 a 24 años,71111
Ambos sexos,Industria,Zona Intermedia,De 25 a 29 años,63062
Ambos sexos,Industria,Zona Intermedia,De 30 a 34 años,57095
Ambos sexos,Industria,Zona Intermedia,De 35 a 39 años,48795
Ambos sexos,Industria,Zona Intermedia,De 40 a 44 años,40850
Ambos sexos,Industria,Zona Intermedia,De 45 a 49 años,45842
Ambos sexos,Industria,Zona Intermedia,De 50 a 54 años,38892
