ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 25 a 29 años,19225
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 30 a 34 años,20292
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 35 a 39 años,17409
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 40 a 44 años,14460
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 45 a 49 años,14452
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 50 a 54 años,12526
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 55 a 59 años,9564
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 60 a 64 años,4157
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 65 a 69 años,692
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 70 a 74 años,191
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Varones),De 75 y más años,131
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),Total,28106
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 16 a 19 años,2680
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 20 a 24 años,8755
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 25 a 29 años,5759
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 30 a 34 años,3184
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 35 a 39 años,1782
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 40 a 44 años,1409
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 45 a 49 años,1325
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 50 a 54 años,1291
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 55 a 59 años,1127
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 60 a 64 años,591
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 65 a 69 años,86
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 70 a 74 años,75
"Industrias del papel y cartón, artes gráficas y edición",Total nacional (Mujeres),De 75 y más años,44
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,Total,13378
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 16 a 19 años,656
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 20 a 24 años,1841
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 25 a 29 años,2077
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 30 a 34 años,1773
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 35 a 39 años,1435
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 40 a 44 años,1338
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 45 a 49 años,1410
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 50 a 54 años,1483
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 55 a 59 años,945
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 60 a 64 años,331
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 65 a 69 años,46
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 70 a 74 años,22
"Industrias del papel y cartón, artes gráficas y edición",Zona Rural,De 75 y más años,22
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,Total,17363
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 16 a 19 años,1053
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 20 a 24 años,2464
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 25 a 29 años,2792
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 30 a 34 años,2529
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 35 a 39 años,1910
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 40 a 44 años,1701
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 45 a 49 años,1752
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 50 a 54 años,1550
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 55 a 59 años,1136
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 60 a 64 años,390
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 65 a 69 años,57
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 70 a 74 años,15
"Industrias del papel y cartón, artes gráficas y edición",Zona Intermedia,De 75 y más años,15
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,Total,131007
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 16 a 19 años,7165
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 20 a 24 años,18798
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 25 a 29 años,20115
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 30 a 34 años,19175
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 35 a 39 años,15847
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 40 a 44 años,12830
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 45 a 49 años,12615
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 50 a 54 años,10785
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 55 a 59 años,8609
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 60 a 64 años,4026
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 65 a 69 años,675
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 70 a 74 años,229
"Industrias del papel y cartón, artes gráficas y edición",Zona Urbana,De 75 y más años,139
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),Total,127725
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 16 a 19 años,7901
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 20 a 24 años,17797
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 25 a 29 años,18146
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 30 a 34 años,17607
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 35 a 39 años,16921
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 40 a 44 años,13967
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 45 a 49 años,13265
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 50 a 54 años,10887
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 55 a 59 años,7689
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 60 a 64 años,2855
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 65 a 69 años,391
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 70 a 74 años,167
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Ambos sexos),De 75 y más años,132
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),Total,100945
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 16 a 19 años,3987
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 20 a 24 años,8587
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 25 a 29 años,13491
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 30 a 34 años,15170
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 35 a 39 años,15355
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 40 a 44 años,12884
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 45 a 49 años,12085
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 50 a 54 años,9788
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 55 a 59 años,6708
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 60 a 64 años,2430
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 65 a 69 años,279
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 70 a 74 años,101
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Varones),De 75 y más años,80
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),Total,26780
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 16 a 19 años,3914
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 20 a 24 años,9210
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 25 a 29 años,4655
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 30 a 34 años,2437
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 35 a 39 años,1565
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 40 a 44 años,1083
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 45 a 49 años,1180
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 50 a 54 años,1099
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 55 a 59 años,981
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 60 a 64 años,425
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 65 a 69 años,112
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 70 a 74 años,65
Caucho y plásticos. Otras industrias manufactureras,Total nacional (Mujeres),De 75 y más años,52
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,Total,11528
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 16 a 19 años,980
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 20 a 24 años,1981
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 25 a 29 años,1879
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 30 a 34 años,1590
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 35 a 39 años,1160
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 40 a 44 años,979
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 45 a 49 años,1117
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 50 a 54 años,947
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 55 a 59 años,600
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 60 a 64 años,205
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 65 a 69 años,30
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 70 a 74 años,24
Caucho y plásticos. Otras industrias manufactureras,Zona Rural,De 75 y más años,35
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,Total,17725
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 16 a 19 años,1471
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 20 a 24 años,3054
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 25 a 29 años,2539
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 30 a 34 años,2186
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 35 a 39 años,2131
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 40 a 44 años,1823
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 45 a 49 años,1648
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 50 a 54 años,1368
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 55 a 59 años,982
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 60 a 64 años,429
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 65 a 69 años,56
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 70 a 74 años,31
Caucho y plásticos. Otras industrias manufactureras,Zona Intermedia,De 75 y más años,7
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,Total,98472
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 16 a 19 años,5450
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 20 a 24 años,12761
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 25 a 29 años,13727
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 30 a 34 años,13832
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 35 a 39 años,13630
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 40 a 44 años,11165
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 45 a 49 años,10499
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 50 a 54 años,8572
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 55 a 59 años,6107
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 60 a 64 años,2221
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 65 a 69 años,306
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 70 a 74 años,112
Caucho y plásticos. Otras industrias manufactureras,Zona Urbana,De 75 y más años,89
Construcción,Total nacional (Ambos sexos),Total,926652
Construcción,Total nacional (Ambos sexos),De 16 a 19 años,58741
Construcción,Total nacional (Ambos sexos),De 20 a 24 años,105085
Construcción,Total nacional (Ambos sexos),De 25 a 29 años,134424
Construcción,Total nacional (Ambos sexos),De 30 a 34 años,137534
Construcción,Total nacional (Ambos sexos),De 35 a 39 años,120885
Construcción,Total nacional (Ambos sexos),De 40 a 44 años,100523
Construcción,Total nacional (Ambos sexos),De 45 a 49 años,100636
Construcción,Total nacional (Ambos sexos),De 50 a 54 años,81807
Construcción,Total nacional (Ambos sexos),De 55 a 59 años,59058
Construcción,Total nacional (Ambos sexos),De 60 a 64 años,24183
Construcción,Total nacional (Ambos sexos),De 65 a 69 años,2206
Construcción,Total nacional (Ambos sexos),De 70 a 74 años,733
Construcción,Total nacional (Ambos sexos),De 75 y más años,836
Construcción,Total nacional (Varones),Total,906618
Construcción,Total nacional (Varones),De 16 a 19 años,56803
Construcción,Total nacional (Varones),De 20 a 24 años,98945
Construcción,Total nacional (Varones),De 25 a 29 años,129767
Construcción,Total nacional (Varones),De 30 a 34 años,135245
Construcción,Total nacional (Varones),De 35 a 39 años,119500
Construcción,Total nacional (Varones),De 40 a 44 años,99645
Construcción,Total nacional (Varones),De 45 a 49 años,99831
Construcción,Total nacional (Varones),De 50 a 54 años,81013
Construcción,Total nacional (Varones),De 55 a 59 años,58409
Construcción,Total nacional (Varones),De 60 a 64 años,23846
Construcción,Total nacional (Varones),De 65 a 69 años,2135
Construcción,Total nacional (Varones),De 70 a 74 años,695
Construcción,Total nacional (Varones),De 75 y más años,785
Construcción,Total nacional (Mujeres),Total,20034
Construcción,Total nacional (Mujeres),De 16 a 19 años,1938
Construcción,Total nacional (Mujeres),De 20 a 24 años,6141
Construcción,Total nacional (Mujeres),De 25 a 29 años,4658
Construcción,Total nacional (Mujeres),De 30 a 34 años,2290
Construcción,Total nacional (Mujeres),De 35 a 39 años,1384
Construcción,Total nacional (Mujeres),De 40 a 44 años,878
Construcción,Total nacional (Mujeres),De 45 a 49 años,806
Construcción,Total nacional (Mujeres),De 50 a 54 años,795
Construcción,Total nacional (Mujeres),De 55 a 59 años,650
Construcción,Total nacional (Mujeres),De 60 a 64 años,336
Construcción,Total nacional (Mujeres),De 65 a 69 años,71
Construcción,Total nacional (Mujeres),De 70 a 74 años,39
Construcción,Total nacional (Mujeres),De 75 y más años,51
Construcción,Zona Rural,Total,223235
Construcción,Zona Rural,De 16 a 19 años,21834
Construcción,Zona Rural,De 20 a 24 años,32989
Construcción,Zona Rural,De 25 a 29 años,35279
Construcción,Zona Rural,De 30 a 34 años,31512
Construcción,Zona Rural,De 35 a 39 años,26179
Construcción,Zona Rural,De 40 a 44 años,20281
Construcción,Zona Rural,De 45 a 49 años,21022
Construcción,Zona Rural,De 50 a 54 años,16570
Construcción,Zona Rural,De 55 a 59 años,11518
Construcción,Zona Rural,De 60 a 64 años,5108
Construcción,Zona Rural,De 65 a 69 años,471
Construcción,Zona Rural,De 70 a 74 años,219
Construcción,Zona Rural,De 75 y más años,253
Construcción,Zona Intermedia,Total,200683
Construcción,Zona Intermedia,De 16 a 19 años,16063
Construcción,Zona Intermedia,De 20 a 24 años,26155
Construcción,Zona Intermedia,De 25 a 29 años,31612
Construcción,Zona Intermedia,De 30 a 34 años,30149
Construcción,Zona Intermedia,De 35 a 39 años,25376
Construcción,Zona Intermedia,De 40 a 44 años,20662
Construcción,Zona Intermedia,De 45 a 49 años,19814
Construcción,Zona Intermedia,De 50 a 54 años,15491
Construcción,Zona Intermedia,De 55 a 59 años,10704
Construcción,Zona Intermedia,De 60 a 64 años,3951
Construcción,Zona Intermedia,De 65 a 69 años,389
Construcción,Zona Intermedia,De 70 a 74 años,108
Construcción,Zona Intermedia,De 75 y más años,210
Construcción,Zona Urbana,Total,502733
Construcción,Zona Urbana,De 16 a 19 años,20844
Construcción,Zona Urbana,De 20 a 24 años,46941
Construcción,Zona Urbana,De 25 a 29 años,67533
Construcción,Zona Urbana,De 30 a 34 años,75873
Construcción,Zona Urbana,De 35 a 39 años,69329
Construcción,Zona Urbana,De 40 a 44 años,59580
Construcción,Zona Urbana,De 45 a 49 años,59800
Construcción,Zona Urbana,De 50 a 54 años,49747
Construcción,Zona Urbana,De 55 a 59 años,36836
Construcción,Zona Urbana,De 60 a 64 años,16124
Construcción,Zona Urbana,De 65 a 69 años,1347
Construcción,Zona Urbana,De 70 a 74 años,406
Construcción,Zona Urbana,De 75 y más años,374
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),Total,1193851
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 16 a 19 años,92535
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 20 a 24 años,170834
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 25 a 29 años,147900
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 30 a 34 años,135461
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 35 a 39 años,126650
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 40 a 44 años,115848
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 45 a 49 años,127151
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 50 a 54 años,112109
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 55 a 59 años,90186
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 60 a 64 años,53593
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 65 a 69 años,12481
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 70 a 74 años,5226
Comercio al por mayor y al por menor,Total nacional (Ambos sexos),De 75 y más años,3877
Comercio al por mayor y al por menor,Total nacional (Varones),Total,791206
Comercio al por mayor y al por menor,Total nacional (Varones),De 16 a 19 años,44852
Comercio al por mayor y al por menor,Total nacional (Varones),De 20 a 24 años,78041
Comercio al por mayor y al por menor,Total nacional (Varones),De 25 a 29 años,95966
Comercio al por mayor y al por menor,Total nacional (Varones),De 30 a 34 años,98071
Comercio al por mayor y al por menor,Total nacional (Varones),De 35 a 39 años,94186
Comercio al por mayor y al por menor,Total nacional (Varones),De 40 a 44 años,85145
Comercio al por mayor y al por menor,Total nacional (Varones),De 45 a 49 años,93007
Comercio al por mayor y al por menor,Total nacional (Varones),De 50 a 54 años,81928
Comercio al por mayor y al por menor,Total nacional (Varones),De 55 a 59 años,65958
Comercio al por mayor y al por menor,Total nacional (Varones),De 60 a 64 años,39752
Comercio al por mayor y al por menor,Total nacional (Varones),De 65 a 69 años,8393
Comercio al por mayor y al por menor,Total nacional (Varones),De 70 a 74 años,3401
Comercio al por mayor y al por menor,Total nacional (Varones),De 75 y más años,2504
Comercio al por mayor y al por menor,Total nacional (Mujeres),Total,402645
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 16 a 19 años,47682
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 20 a 24 años,92793
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 25 a 29 años,51933
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 30 a 34 años,37390
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 35 a 39 años,32464
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 40 a 44 años,30703
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 45 a 49 años,34144
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 50 a 54 años,30181
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 55 a 59 años,24228
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 60 a 64 años,13841
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 65 a 69 años,4088
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 70 a 74 años,1825
Comercio al por mayor y al por menor,Total nacional (Mujeres),De 75 y más años,1373
Comercio al por mayor y al por menor,Zona Rural,Total,125994
Comercio al por mayor y al por menor,Zona Rural,De 16 a 19 años,10191
Comercio al por mayor y al por menor,Zona Rural,De 20 a 24 años,18128
Comercio al por mayor y al por menor,Zona Rural,De 25 a 29 años,14887
Comercio al por mayor y al por menor,Zona Rural,De 30 a 34 años,12350
Comercio al por mayor y al por menor,Zona Rural,De 35 a 39 años,12230
Comercio al por mayor y al por menor,Zona Rural,De 40 a 44 años,11855
Comercio al por mayor y al por menor,Zona Rural,De 45 a 49 años,13575
Comercio al por mayor y al por menor,Zona Rural,De 50 a 54 años,12630
Comercio al por mayor y al por menor,Zona Rural,De 55 a 59 años,10644
Comercio al por mayor y al por menor,Zona Rural,De 60 a 64 años,6724
Comercio al por mayor y al por menor,Zona Rural,De 65 a 69 años,1495
Comercio al por mayor y al por menor,Zona Rural,De 70 a 74 años,750
Comercio al por mayor y al por menor,Zona Rural,De 75 y más años,533
Comercio al por mayor y al por menor,Zona Intermedia,Total,172154
Comercio al por mayor y al por menor,Zona Intermedia,De 16 a 19 años,14426
Comercio al por mayor y al por menor,Zona Intermedia,De 20 a 24 años,22978
Comercio al por mayor y al por menor,Zona Intermedia,De 25 a 29 años,19767
Comercio al por mayor y al por menor,Zona Intermedia,De 30 a 34 años,18623
Comercio al por mayor y al por menor,Zona Intermedia,De 35 a 39 años,17989
Comercio al por mayor y al por menor,Zona Intermedia,De 40 a 44 años,16735
Comercio al por mayor y al por menor,Zona Intermedia,De 45 a 49 años,18987
Comercio al por mayor y al por menor,Zona Intermedia,De 50 a 54 años,16992
Comercio al por mayor y al por menor,Zona Intermedia,De 55 a 59 años,13928
Comercio al por mayor y al por menor,Zona Intermedia,De 60 a 64 años,8325
Comercio al por mayor y al por menor,Zona Intermedia,De 65 a 69 años,1991
Comercio al por mayor y al por menor,Zona Intermedia,De 70 a 74 años,806
Comercio al por mayor y al por menor,Zona Intermedia,De 75 y más años,607
Comercio al por mayor y al por menor,Zona Urbana,Total,895704
Comercio al por mayor y al por menor,Zona Urbana,De 16 a 19 años,67917
Comercio al por mayor y al por menor,Zona Urbana,De 20 a 24 años,129728
Comercio al por mayor y al por menor,Zona Urbana,De 25 a 29 años,113246
Comercio al por mayor y al por menor,Zona Urbana,De 30 a 34 años,104489
Comercio al por mayor y al por menor,Zona Urbana,De 35 a 39 años,96432
Comercio al por mayor y al por menor,Zona Urbana,De 40 a 44 años,87258
Comercio al por mayor y al por menor,Zona Urbana,De 45 a 49 años,94589
Comercio al por mayor y al por menor,Zona Urbana,De 50 a 54 años,82487
Comercio al por mayor y al por menor,Zona Urbana,De 55 a 59 años,65614
Comercio al por mayor y al por menor,Zona Urbana,De 60 a 64 años,38544
Comercio al por mayor y al por menor,Zona Urbana,De 65 a 69 años,8994
Comercio al por mayor y al por menor,Zona Urbana,De 70 a 74 años,3670
Comercio al por mayor y al por menor,Zona Urbana,De 75 y más años,2736
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),Total,409371
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 16 a 19 años,45258
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 20 a 24 años,60189
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 25 a 29 años,57407
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 30 a 34 años,50038
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 35 a 39 años,41991
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 40 a 44 años,37420
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 45 a 49 años,39170
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 50 a 54 años,32974
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 55 a 59 años,25792
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 60 a 64 años,14404
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 65 a 69 años,2881
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 70 a 74 años,1009
"Restaurantes, cafés y hostelería",Total nacional (Ambos sexos),De 75 y más años,839
"Restaurantes, cafés y hostelería",Total nacional (Varones),Total,296322
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 16 a 19 años,35599
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 20 a 24 años,42645
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 25 a 29 años,44131
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 30 a 34 años,39203
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 35 a 39 años,31602
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 40 a 44 años,26393
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 45 a 49 años,26602
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 50 a 54 años,21222
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 55 a 59 años,16813
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 60 a 64 años,9387
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 65 a 69 años,1698
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 70 a 74 años,583
"Restaurantes, cafés y hostelería",Total nacional (Varones),De 75 y más años,444
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),Total,113048
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 16 a 19 años,9659
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 20 a 24 años,17644
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 25 a 29 años,13276
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 30 a 34 años,10835
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 35 a 39 años,10389
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 40 a 44 años,11026
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 45 a 49 años,12568
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 50 a 54 años,11752
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 55 a 59 años,8980
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 60 a 64 años,5018
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 65 a 69 años,1183
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 70 a 74 años,426
"Restaurantes, cafés y hostelería",Total nacional (Mujeres),De 75 y más años,395
"Restaurantes, cafés y hostelería",Zona Rural,Total,74322
"Restaurantes, cafés y hostelería",Zona Rural,De 16 a 19 años,10107
"Restaurantes, cafés y hostelería",Zona Rural,De 20 a 24 años,13714
"Restaurantes, cafés y hostelería",Zona Rural,De 25 a 29 años,10832
