ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 60 a 64 años,25068
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 65 a 69 años,5782
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 70 a 74 años,2098
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 75 y más años,1471
"Agricultura, ganadería, silvicultura y caza",Zona Rural,Total,1027663
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 16 a 19 años,61007
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 20 a 24 años,73488
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 25 a 29 años,68187
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 30 a 34 años,73486
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 35 a 39 años,82838
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 40 a 44 años,96474
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 45 a 49 años,140944
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 50 a 54 años,154524
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 55 a 59 años,145386
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 60 a 64 años,99259
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 65 a 69 años,19400
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 70 a 74 años,7823
"Agricultura, ganadería, silvicultura y caza",Zona Rural,De 75 y más años,4846
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,Total,369406
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 16 a 19 años,22681
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 20 a 24 años,28005
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 25 a 29 años,27255
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 30 a 34 años,28427
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 35 a 39 años,31821
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 40 a 44 años,38981
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 45 a 49 años,53392
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 50 a 54 años,55116
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 55 a 59 años,48689
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 60 a 64 años,29177
"Agricultura, ganadería, silvicultura y caza",Zona Intermedia,De 65 a 69 años,3731
