sheet_raw,series_code,row_description,quarter_label,year,quarter,value,description,date_start,date_end,frequency,units,series_type,sheet,series_label
cuadro_01,1994GG0001,Total economía,1973:II,1973,2,13140.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1973:III,1973,3,13333.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1973:IV,1973,4,13394.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1974:I,1974,1,13437.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1974:II,1974,2,13355.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1974:III,1974,3,13515.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1974:IV,1974,4,13445.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1975:I,1975,1,13429.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1975:II,1975,2,13322.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1975:III,1975,3,13306.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
