series_code,series_label,description,sheet,series_type,units,year,annual_mean
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1965,2821.5
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1966,2867.0
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1967,2961.0
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1968,2962.0
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1969,3051.25
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1970,3051.75
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1971,3116.25
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1972,3220.5
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1973,3338.5
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1974,3446.0
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1975,3478.5
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1976,3507.5
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1977,3566.75
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1978,3516.5
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1979,3450.25
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1980,3359.5
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1981,3266.75
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1982,3144.75
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1983,3092.25
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1984,3053.75
